#metadataBlock	name	dataverseAlias	displayName	blockURI												
	citation		Citation Metadata	https://dataverse.org/schema/citation/												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	subjectField	11		0												
	subjectField	12		1												
	subjectField	13		2												
	subjectField	14		3												
	subjectField	15		4												
	subjectField	16		5												
	subjectField	17		6												
	subjectField	18		7												
	subjectField	19		8												
	subjectField	21		9												
	subjectField	22		10												
	subjectField	23		11												
	subjectField	24		12												
	subjectField	25		13												
	subjectField	26		14												
	subjectField	27		15												
	subjectField	28		16												
	subjectField	29		17												
	subjectField	210		18												
	subjectField	211		19												
	subjectField	31		20												
	subjectField	32		21												
	subjectField	33		22												
	subjectField	34		23												
	subjectField	35		24												
	subjectField	41		25												
	subjectField	51		26												
	subjectField	52		27												
	subjectField	53		28												
	subjectField	54		29												
	subjectField	61		30												
	subjectField	62		31												
	subjectField	63		32												
	subjectField	64		33												
	subjectField	65		34												
	subjectField	66		35												
	subjectField	67		36												
	subjectField	68		37												
	subjectField	69		38												
	subjectField	610		39												
	subjectField	611		40												
	subjectField	612		41												
	subjectField	71		42												
	subjectField	72		43												
	subjectField	73		44												
	subjectField	74		45												
	subjectField	75		46												
	subjectField	76		47												
	subjectField	77		48												
	subjectField	78		49												
	subjectField	81		50												
	subjectField	82		51												
	subjectField	91		52												
	subjectField	101		53												
	subjectField	102		54												
	subjectField	103		55												
	authorIdentifierScheme	ORCID		0												
	authorIdentifierScheme	ISNI		1												
	authorIdentifierScheme	LCNA		2												
	authorIdentifierScheme	VIAF		3												
	authorIdentifierScheme	GND		4												
	authorIdentifierScheme	DAI		5												
	authorIdentifierScheme	ResearcherID		6												
	authorIdentifierScheme	ScopusID		7												
	contributorIdScheme	ORCID		0												
	contributorIdScheme	ISNI		1												
	contributorIdScheme	LCNA		2												
	contributorIdScheme	VIAF		3												
	contributorIdScheme	GND		4												
	contributorIdScheme	DAI		5												
	contributorIdScheme	ResearcherID		6												
	contributorIdScheme	ScopusID		7												
	language	English		0												
	language	Polish		1												
	language	French		2												
	language	Spanish, Castilian		3												
	language	German		4												
	language	Russian		5												
	language	Italian		6												
	language	Abkhaz		7												
	language	Afar		8												
	language	Afrikaans		9												
	language	Akan		10												
	language	Albanian		11												
	language	Amharic		12												
	language	Arabic		13												
	language	Aragonese		14												
	language	Armenian		15												
	language	Assamese		16												
	language	Avaric		17												
	language	Avestan		18												
	language	Aymara		19												
	language	Azerbaijani		20												
	language	Bambara		21												
	language	Bashkir		22												
	language	Basque		23												
	language	Belarusian		24												
	language	Bengali, Bangla		25												
	language	Bihari		26												
	language	Bislama		27												
	language	Bosnian		28												
	language	Breton		29												
	language	Bulgarian		30												
	language	Burmese		31												
	language	Catalan,Valencian		32												
	language	Chamorro		33												
	language	Chechen		34												
	language	Chichewa, Chewa, Nyanja		35												
	language	Chinese		36												
	language	Chuvash		37												
	language	Cornish		38												
	language	Corsican		39												
	language	Cree		40												
	language	Croatian		41												
	language	Czech		42												
	language	Danish		43												
	language	Divehi, Dhivehi, Maldivian		44												
	language	Dutch		45												
	language	Dzongkha		46												
	language	Esperanto		47												
	language	Estonian		48												
	language	Ewe		49												
	language	Faroese		50												
	language	Fijian		51												
	language	Finnish		52												
	language	Fula, Fulah, Pulaar, Pular		53												
	language	Galician		54												
	language	Georgian		55												
	language	Greek (modern)		56												
	language	Guaraní		57												
	language	Gujarati		58												
	language	Haitian, Haitian Creole		59												
	language	Hausa		60												
	language	Hebrew (modern)		61												
	language	Herero		62												
	language	Hindi		63												
	language	Hiri Motu		64												
	language	Hungarian		65												
	language	Interlingua		66												
	language	Indonesian		67												
	language	Interlingue		68												
	language	Irish		69												
	language	Igbo		70												
	language	Inupiaq		71												
	language	Ido		72												
	language	Icelandic		73												
	language	Inuktitut		74												
	language	Japanese		75												
	language	Javanese		76												
	language	Kalaallisut, Greenlandic		77												
	language	Kannada		78												
	language	Kanuri		79												
	language	Kashmiri		80												
	language	Kazakh		81												
	language	Khmer		82												
	language	Kikuyu, Gikuyu		83												
	language	Kinyarwanda		84												
	language	Kyrgyz		85												
	language	Komi		86												
	language	Kongo		87												
	language	Korean		88												
	language	Kurdish		89												
	language	Kwanyama, Kuanyama		90												
	language	Latin		91												
	language	Luxembourgish, Letzeburgesch		92												
	language	Ganda		93												
	language	Limburgish, Limburgan, Limburger		94												
	language	Lingala		95												
	language	Lao		96												
	language	Lithuanian		97												
	language	Luba-Katanga		98												
	language	Latvian		99												
	language	Manx		100												
	language	Macedonian		101												
	language	Malagasy		102												
	language	Malay		103												
	language	Malayalam		104												
	language	Maltese		105												
	language	Māori		106												
	language	Marathi (Marāṭhī)		107												
	language	Marshallese		108												
	language	Mixtepec Mixtec		109												
	language	Mongolian		110												
	language	Nauru		111												
	language	Navajo, Navaho		112												
	language	Northern Ndebele		113												
	language	Nepali		114												
	language	Ndonga		115												
	language	Norwegian Bokmål		116												
	language	Norwegian Nynorsk		117												
	language	Norwegian		118												
	language	Nuosu		119												
	language	Southern Ndebele		120												
	language	Occitan		121												
	language	Ojibwe, Ojibwa		122												
	language	Old Church Slavonic,Church Slavonic,Old Bulgarian		123												
	language	Oromo		124												
	language	Oriya		125												
	language	Ossetian, Ossetic		126												
	language	Panjabi, Punjabi		127												
	language	Pāli		128												
	language	Persian (Farsi)		129												
	language	Pashto, Pushto		130												
	language	Portuguese		131												
	language	Quechua		132												
	language	Romansh		133												
	language	Kirundi		134												
	language	Romanian		135												
	language	Sanskrit (Saṁskṛta)		136												
	language	Sardinian		137												
	language	Sindhi		138												
	language	Northern Sami		139												
	language	Samoan		140												
	language	Sango		141												
	language	Serbian		142												
	language	Scottish Gaelic, Gaelic		143												
	language	Shona		144												
	language	Sinhala, Sinhalese		145												
